epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
65,50765,0.1561666908703754,0.026985492657455073,0.2871066776799484,90.05481754161332,99.74591869398208,9.945182458386682,0.2540813060179232,0.14968130998550708,0.08369817095956984,0.43310093469619754,85.31,99.18,14.689999999999998,0.8199999999999932
66,51546,0.15542954733063408,0.02670850155448181,0.28722278787140354,89.99279769526248,99.76992637644047,10.007202304737518,0.23007362355953376,0.1493827339949881,0.08320049267665595,0.4933779377937317,83.05,99.18,16.950000000000003,0.8199999999999932
67,52327,0.15526951748338766,0.02664849944365009,0.28641389983392557,90.10883482714469,99.71991037131882,9.89116517285531,0.28008962868118203,0.14958180439699986,0.08379765832500094,0.4606854645729065,84.12,99.26,15.879999999999995,0.7399999999999949
68,53108,0.15520949644560086,0.026428426578927133,0.2817928717017326,90.0668213828425,99.75192061459667,9.933178617157495,0.2480793854033294,0.1492831980346874,0.08359856666273373,0.4288592357158661,85.48,99.52,14.519999999999996,0.480000000000004
69,53889,0.15546957875641298,0.0264684378566571,0.27863512641336485,90.37692061459667,99.72991357234315,9.62307938540333,0.27008642765684954,0.14918375167117756,0.08359863955503816,0.4797092629432678,83.49,99.24,16.510000000000005,0.7600000000000051
70,54670,0.15534954064939452,0.026508454324036035,0.2838075647605213,90.18285851472471,99.7499199743918,9.817141485275286,0.25008002560819875,0.14878561694151277,0.08310098253237973,0.48392854199409485,83.25,99.36,16.75,0.6400000000000006
71,55451,0.15532953607898667,0.026628493346874907,0.2788771279203907,90.29689500640205,99.73191421254802,9.703104993597947,0.2680857874519802,0.1489847010108316,0.08320054430870494,0.4865947247028351,83.16,99.33,16.840000000000003,0.6700000000000017
72,56232,0.15538955650622652,0.026548467128133347,0.2789846691046573,90.282890524968,99.79593469910371,9.717109475032004,0.20406530089628916,0.14938279625716483,0.08369815729226276,0.5020054592609405,82.99,99.17,17.010000000000005,0.8299999999999983
73,57013,0.15556961381939097,0.026608488471193594,0.2765342891502472,90.33290653008963,99.78793213828425,9.66709346991037,0.21206786171575231,0.14958179224828247,0.08409620242513668,0.43809518089294436,84.57,99.37,15.430000000000007,0.6299999999999955
74,57794,0.1549694217579313,0.026848562548316243,0.27989829925011733,90.31490076824583,99.73791613316261,9.685099231754165,0.2620838668373864,0.14938277651549906,0.08419576116428254,0.43929162707328795,85.4,99.37,14.599999999999994,0.6299999999999955
75,58575,0.15498942541251873,0.026708517733975652,0.27709485152581287,90.44894366197182,99.78193021766965,9.551056338028175,0.21806978233034613,0.14948226995528882,0.08409620242513668,0.42187750425338744,85.79,99.39,14.209999999999994,0.6099999999999994
76,59356,0.155049431797179,0.026768522897542057,0.27444705303171685,90.49295774647888,99.77992957746478,9.50704225352112,0.22007042253521547,0.14978088239196,0.08449433108044278,0.41505718936920166,86.01,99.41,13.989999999999995,0.5900000000000034
77,60137,0.15522893198626295,0.026768537245395088,0.27268609585820025,90.6189980793854,99.72791293213828,9.381001920614594,0.2720870678617189,0.14938275221806424,0.08359861373901367,0.4343812783718109,85.48,99.38,14.519999999999996,0.6200000000000045
78,60918,0.15536952690339426,0.02654844698008441,0.2733929182632937,90.54097311139564,99.77392765685019,9.459026888604356,0.22607234314980929,0.14938272640203973,0.08379762036025903,0.4184081394195557,85.55,99.44,14.450000000000003,0.5600000000000023
79,61699,0.1554095461182344,0.02656845735068816,0.2726899242069138,90.48095390524968,99.78593149807938,9.519046094750323,0.21406850192062166,0.14918370763207697,0.08339955548571933,0.4416861252307892,84.92,99.28,15.079999999999998,0.7199999999999989
80,62480,0.15532953638426014,0.026648498527829686,0.275741978487651,90.42893725992317,99.75192061459667,9.571062740076826,0.2480793854033294,0.14888517112488958,0.08320054279011525,0.406664826130867,86.29,99.52,13.709999999999994,0.480000000000004
81,63261,0.15518949034882568,0.026548466822859877,0.2733820608689446,90.34891165172856,99.77192701664532,9.651088348271443,0.22807298335467863,0.1492832678898125,0.0834991248549929,0.40749752473831174,86.31,99.47,13.689999999999998,0.5300000000000011
